team,season,conference,power5_flag,wins,losses,win_pct,conf_wins,conf_losses,bowl_eligible,sp_overall,sp_offense,sp_defense,talent_composite,srs_rating,points_for,points_against,point_differential,ppg,ppg_allowed,games_played,transfers_out,avg_stars_out,avg_rating_out,transfers_in,avg_stars_in,avg_rating_in,net_transfers,recruiting_rank,recruiting_points,off_pass_success_rate,off_pass_explosiveness,off_pass_ppa,off_rush_success_rate,off_rush_explosiveness,off_rush_ppa,def_pass_success_rate,def_pass_explosiveness,def_pass_ppa,def_rush_success_rate,def_rush_explosiveness,def_rush_ppa
Auburn,2015,SEC,True,7,6,0.5384615384615384,2,6,True,14.6,36.1,23.1,865.41,9.14382008427567,357.0,338.0,19.0,27.46153846153846,26.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,278.31,0.3993993993993994,1.7335590098665972,0.278769068910435,0.4688581314878893,0.817882638931587,0.1209402329991499,0.4350515463917526,1.300132939971255,0.1140103329981182,0.4660194174757281,0.9407585618884194,0.1727381070354425
South Alabama,2015,Sun Belt,False,5,7,0.4166666666666667,3,5,False,-10.4,24.3,33.4,367.16,-17.5936825050804,300.0,447.0,-147.0,25.0,37.25,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,132.17,0.3464566929133858,1.7548593457910024,0.0893911819148745,0.4138702460850111,0.8592259607696988,0.0550433220367159,0.4380403458213256,1.5767714357527942,0.3087402889626386,0.4395833333333333,1.0461777647239965,0.1340913529167551
Arkansas,2015,SEC,True,8,5,0.6153846153846154,5,3,True,19.2,46.6,28.0,695.04,15.149481233146,467.0,356.0,111.0,35.92307692307692,27.384615384615383,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,222.51,0.5,1.762970146601997,0.5489989145786421,0.5,0.9181433978776956,0.1858767553242477,0.486784140969163,1.444350598552098,0.3730571233865637,0.4461942257217848,0.9119566447335412,0.1143107397616798
Arizona State,2015,Pac-12,True,6,7,0.4615384615384615,4,5,True,10.2,34.9,27.2,680.87,6.94629706149139,450.0,435.0,15.0,34.61538461538461,33.46153846153846,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,232.73,0.4045936395759717,1.5881838934341896,0.267634932189518,0.4075546719681908,0.9949540768264626,0.0886085633477735,0.3881932021466905,1.8778276505183988,0.2966234368624183,0.3951219512195122,1.105732728106957,0.099129271283739
Arizona,2015,Pac-12,True,7,6,0.5384615384615384,3,6,True,4.7,38.0,31.6,606.92,-0.094822586744737,486.0,465.0,21.0,37.38461538461539,35.76923076923077,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,186.57,0.4285714285714285,1.6048470669367183,0.2497726736121542,0.4698795180722891,1.1015254329958306,0.2185638312442746,0.4270386266094421,1.6834860321118144,0.3649600709779876,0.4454382826475849,0.9121829002811328,0.1331689053973954
San Diego State,2015,Mountain West,False,11,3,0.7857142857142857,9,0,True,8.0,28.6,22.6,494.77,6.16823397113862,450.0,230.0,220.0,32.142857142857146,16.428571428571427,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,161.96,0.4037735849056604,1.779907714621872,0.3241861000387528,0.4348484848484849,0.9918135581831564,0.1513441657955153,0.3390243902439024,1.6404576793437784,0.0129621815953857,0.375,0.8803649392255362,-0.0098185616811261
San José State,2015,Mountain West,False,6,7,0.4615384615384615,4,4,True,-4.5,26.8,32.0,379.6,-6.88590260518055,363.0,354.0,9.0,27.923076923076923,27.23076923076923,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,167.14,0.442080378250591,1.5586491230220316,0.2979763560332568,0.4525252525252525,1.0082570401946405,0.1565556471171883,0.3761194029850746,1.5436510964784609,0.1157108846467273,0.4527162977867203,1.0209079943915114,0.176802118107706
Stanford,2015,Pac-12,True,12,2,0.8571428571428571,9,1,True,22.8,44.5,24.5,765.98,20.585950973134,529.0,316.0,213.0,37.785714285714285,22.571428571428573,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,220.65,0.5014925373134328,1.6657247701906344,0.4869387286424277,0.4982993197278911,0.9380573720478418,0.2045971269693199,0.416,1.522215936280393,0.2562171807213874,0.4033412887828162,0.9612634200508012,0.049136236277519
California,2015,Pac-12,True,8,5,0.6153846153846154,4,5,True,12.1,41.3,29.5,626.0,11.0230457334804,493.0,399.0,94.0,37.92307692307692,30.692307692307693,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,198.77,0.5017482517482518,1.6008353213450406,0.4123672881590861,0.5156626506024097,0.786295767435764,0.117100969150815,0.4262295081967213,1.608081355752613,0.2480773393528039,0.4646840148698885,0.9174214912753428,0.1497836560877795
UCLA,2015,Pac-12,True,8,5,0.6153846153846154,5,4,True,18.6,42.4,22.6,793.22,9.91018712229132,419.0,338.0,81.0,32.23076923076923,26.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,269.68,0.4335260115606936,1.5762321331575742,0.2999325582176116,0.4808988764044943,1.0018638194941738,0.1631701638479651,0.3708333333333333,1.3936543832602757,0.0767723161568774,0.4750889679715303,0.8494114352158942,0.1323116246833014
USC,2015,Pac-12,True,8,6,0.5714285714285714,6,4,True,16.8,38.6,23.3,926.71,13.5912770186518,475.0,360.0,115.0,33.92857142857143,25.714285714285715,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,310.88,0.4457831325301205,1.5299303226137846,0.3489977795844576,0.4725050916496945,1.018351811234818,0.1643486936323518,0.4405737704918033,1.5775971474757018,0.2408690623287931,0.4204081632653061,0.8065200132812549,0.0033767754533407
Colorado State,2015,Mountain West,False,7,6,0.5384615384615384,5,4,True,0.5,29.4,30.2,389.1,-8.47068932406335,385.0,354.0,31.0,29.615384615384617,27.23076923076923,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,101.72,0.452970297029703,1.5307507319473967,0.2723787256334247,0.4625719769673704,0.8847171633557627,0.1076216923836393,0.391304347826087,1.5628569990121346,0.1792420769738677,0.4223484848484848,1.1846291152401724,0.1720127344433363
Colorado,2015,Pac-12,True,4,9,0.3076923076923077,1,8,False,-4.0,25.8,28.5,542.06,-4.5949902555715,320.0,357.0,-37.0,24.615384615384617,27.46153846153846,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,162.04,0.4074889867841409,1.4671397343861865,0.1983159672038316,0.4407894736842105,0.8358409248676647,0.0837948344511966,0.4052757793764988,1.536400454978362,0.1530500498786376,0.4659340659340659,0.9658080668406293,0.1789219848643112
UConn,2015,American Athletic,False,6,7,0.4615384615384615,4,4,True,-6.3,18.1,23.9,402.23,-2.48562821930847,223.0,253.0,-30.0,17.153846153846153,19.46153846153846,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,120.89,0.3850267379679144,1.5714348332361905,0.1291086105662103,0.3927765237020316,0.8626262066792316,-0.0104936141798646,0.4009546539379475,1.4294583151033846,0.1465659017064005,0.3952991452991453,0.939836429519054,0.0388017169545373
